altitude_ft,altitude_km,fspl_db,prx_dbm,snr_db
100,0.0305,45.42,-1.93,128.07
104,0.0317,45.77,-2.28,127.72
108,0.0331,46.12,-2.63,127.37
113,0.0344,46.47,-2.98,127.02
118,0.0358,46.82,-3.33,126.67
122,0.0373,47.18,-3.69,126.31
128,0.0389,47.53,-4.04,125.96
133,0.0405,47.88,-4.39,125.61
138,0.0421,48.23,-4.74,125.26
144,0.0439,48.58,-5.09,124.91
150,0.0457,48.93,-5.45,124.55
156,0.0476,49.29,-5.80,124.20
163,0.0496,49.64,-6.15,123.85
169,0.0516,49.99,-6.50,123.50
176,0.0537,50.34,-6.85,123.15
184,0.0560,50.69,-7.20,122.80
191,0.0583,51.05,-7.56,122.44
199,0.0607,51.40,-7.91,122.09
207,0.0632,51.75,-8.26,121.74
216,0.0658,52.10,-8.61,121.39
225,0.0685,52.45,-8.96,121.04
234,0.0713,52.80,-9.31,120.69
244,0.0743,53.16,-9.67,120.33
254,0.0774,53.51,-10.02,119.98
264,0.0806,53.86,-10.37,119.63
275,0.0839,54.21,-10.72,119.28
287,0.0874,54.56,-11.07,118.93
298,0.0910,54.91,-11.43,118.57
311,0.0947,55.27,-11.78,118.22
324,0.0986,55.62,-12.13,117.87
337,0.1027,55.97,-12.48,117.52
351,0.1070,56.32,-12.83,117.17
365,0.1114,56.67,-13.18,116.82
381,0.1160,57.03,-13.54,116.46
396,0.1208,57.38,-13.89,116.11
413,0.1258,57.73,-14.24,115.76
430,0.1310,58.08,-14.59,115.41
447,0.1364,58.43,-14.94,115.06
466,0.1420,58.78,-15.29,114.71
485,0.1479,59.14,-15.65,114.35
505,0.1540,59.49,-16.00,114.00
526,0.1604,59.84,-16.35,113.65
548,0.1670,60.19,-16.70,113.30
571,0.1739,60.54,-17.05,112.95
594,0.1811,60.89,-17.41,112.59
619,0.1886,61.25,-17.76,112.24
644,0.1964,61.60,-18.11,111.89
671,0.2045,61.95,-18.46,111.54
699,0.2129,62.30,-18.81,111.19
727,0.2217,62.65,-19.16,110.84
758,0.2309,63.01,-19.52,110.48
789,0.2404,63.36,-19.87,110.13
821,0.2504,63.71,-20.22,109.78
855,0.2607,64.06,-20.57,109.43
891,0.2715,64.41,-20.92,109.08
928,0.2827,64.76,-21.27,108.73
966,0.2944,65.12,-21.63,108.37
1006,0.3066,65.47,-21.98,108.02
1047,0.3192,65.82,-22.33,107.67
1091,0.3324,66.17,-22.68,107.32
1136,0.3462,66.52,-23.03,106.97
1183,0.3605,66.87,-23.38,106.62
1232,0.3754,67.23,-23.74,106.26
1282,0.3909,67.58,-24.09,105.91
1335,0.4070,67.93,-24.44,105.56
1391,0.4239,68.28,-24.79,105.21
1448,0.4414,68.63,-25.14,104.86
1508,0.4596,68.99,-25.50,104.50
1570,0.4786,69.34,-25.85,104.15
1635,0.4984,69.69,-26.20,103.80
1703,0.5190,70.04,-26.55,103.45
1773,0.5405,70.39,-26.90,103.10
1846,0.5628,70.74,-27.25,102.75
1923,0.5860,71.10,-27.61,102.39
2002,0.6103,71.45,-27.96,102.04
2085,0.6355,71.80,-28.31,101.69
2171,0.6618,72.15,-28.66,101.34
2261,0.6891,72.50,-29.01,100.99
2354,0.7176,72.85,-29.36,100.64
2452,0.7472,73.21,-29.72,100.28
2553,0.7781,73.56,-30.07,99.93
2658,0.8103,73.91,-30.42,99.58
2768,0.8438,74.26,-30.77,99.23
2883,0.8786,74.61,-31.12,98.88
3002,0.9150,74.97,-31.48,98.52
3126,0.9528,75.32,-31.83,98.17
3255,0.9922,75.67,-32.18,97.82
3390,1.0332,76.02,-32.53,97.47
3530,1.0759,76.37,-32.88,97.12
3676,1.1203,76.72,-33.23,96.77
3827,1.1666,77.08,-33.59,96.41
3986,1.2148,77.43,-33.94,96.06
4150,1.2650,77.78,-34.29,95.71
4322,1.3173,78.13,-34.64,95.36
4501,1.3718,78.48,-34.99,95.01
4687,1.4285,78.83,-35.34,94.66
4880,1.4875,79.19,-35.70,94.30
5082,1.5490,79.54,-36.05,93.95
5292,1.6130,79.89,-36.40,93.60
5511,1.6797,80.24,-36.75,93.25
5738,1.7491,80.59,-37.10,92.90
5976,1.8214,80.94,-37.46,92.54
6223,1.8966,81.30,-37.81,92.19
6480,1.9750,81.65,-38.16,91.84
6748,2.0567,82.00,-38.51,91.49
7026,2.1417,82.35,-38.86,91.14
7317,2.2302,82.70,-39.21,90.79
7619,2.3223,83.06,-39.57,90.43
7934,2.4183,83.41,-39.92,90.08
8262,2.5183,83.76,-40.27,89.73
8603,2.6223,84.11,-40.62,89.38
8959,2.7307,84.46,-40.97,89.03
9329,2.8436,84.81,-41.32,88.68
9715,2.9611,85.17,-41.68,88.32
10116,3.0835,85.52,-42.03,87.97
10534,3.2109,85.87,-42.38,87.62
10970,3.3436,86.22,-42.73,87.27
11423,3.4818,86.57,-43.08,86.92
11895,3.6257,86.92,-43.44,86.56
12387,3.7755,87.28,-43.79,86.21
12899,3.9316,87.63,-44.14,85.86
13432,4.0941,87.98,-44.49,85.51
13987,4.2633,88.33,-44.84,85.16
14565,4.4395,88.68,-45.19,84.81
15167,4.6230,89.04,-45.55,84.45
15794,4.8140,89.39,-45.90,84.10
16447,5.0130,89.74,-46.25,83.75
17126,5.2202,90.09,-46.60,83.40
17834,5.4359,90.44,-46.95,83.05
18571,5.6606,90.79,-47.30,82.70
19339,5.8945,91.15,-47.66,82.34
20138,6.1381,91.50,-48.01,81.99
20970,6.3918,91.85,-48.36,81.64
21837,6.6560,92.20,-48.71,81.29
22740,6.9310,92.55,-49.06,80.94
23679,7.2175,92.90,-49.42,80.58
24658,7.5158,93.26,-49.77,80.23
25677,7.8264,93.61,-50.12,79.88
26738,8.1499,93.96,-50.47,79.53
27843,8.4867,94.31,-50.82,79.18
28994,8.8374,94.66,-51.17,78.83
30193,9.2027,95.02,-51.53,78.47
31440,9.5830,95.37,-51.88,78.12
32740,9.9791,95.72,-52.23,77.77
34093,10.3915,96.07,-52.58,77.42
35502,10.8210,96.42,-52.93,77.07
36969,11.2682,96.77,-53.28,76.72
38497,11.7339,97.13,-53.64,76.36
40088,12.2188,97.48,-53.99,76.01
41745,12.7238,97.83,-54.34,75.66
43470,13.2497,98.18,-54.69,75.31
45267,13.7973,98.53,-55.04,74.96
47138,14.3675,98.88,-55.39,74.61
49086,14.9613,99.24,-55.75,74.25
51114,15.5796,99.59,-56.10,73.90
53227,16.2235,99.94,-56.45,73.55
55427,16.8940,100.29,-56.80,73.20
57717,17.5923,100.64,-57.15,72.85
60103,18.3193,101.00,-57.51,72.49
62587,19.0764,101.35,-57.86,72.14
65173,19.8649,101.70,-58.21,71.79
67867,20.6858,102.05,-58.56,71.44
70672,21.5408,102.40,-58.91,71.09
73593,22.4310,102.75,-59.26,70.74
76634,23.3581,103.11,-59.62,70.38
79801,24.3234,103.46,-59.97,70.03
83099,25.3287,103.81,-60.32,69.68
86534,26.3755,104.16,-60.67,69.33
90110,27.4656,104.51,-61.02,68.98
93834,28.6007,104.86,-61.37,68.63
97712,29.7827,105.22,-61.73,68.27
101751,31.0136,105.57,-62.08,67.92
105956,32.2954,105.92,-62.43,67.57
110335,33.6301,106.27,-62.78,67.22
114895,35.0200,106.62,-63.13,66.87
119644,36.4674,106.98,-63.49,66.51
124588,37.9745,107.33,-63.84,66.16
129737,39.5440,107.68,-64.19,65.81
135099,41.1783,108.03,-64.54,65.46
140683,42.8801,108.38,-64.89,65.11
146497,44.6523,108.73,-65.24,64.76
152552,46.4978,109.09,-65.60,64.40
158857,48.4195,109.44,-65.95,64.05
165422,50.4206,109.79,-66.30,63.70
172259,52.5044,110.14,-66.65,63.35
179378,54.6744,110.49,-67.00,63.00
186791,56.9340,110.84,-67.35,62.65
194511,59.2870,111.20,-67.71,62.29
202550,61.7373,111.55,-68.06,61.94
210921,64.2888,111.90,-68.41,61.59
219639,66.9458,112.25,-68.76,61.24
228716,69.7126,112.60,-69.11,60.89
238169,72.5938,112.96,-69.47,60.53
248012,75.5940,113.31,-69.82,60.18
258262,78.7182,113.66,-70.17,59.83
268936,81.9716,114.01,-70.52,59.48
280050,85.3594,114.36,-70.87,59.13
291625,88.8872,114.71,-71.22,58.78
303677,92.5608,115.07,-71.58,58.42
316228,96.3862,115.42,-71.93,58.07
